source_stock,target_stock,weight
1,601881,0.5675734056322417
9,166,0.5290389095083062
9,617,0.5430358558612861
9,728,0.6232533927417364
9,750,0.6602671309822891
9,776,0.6256532206481573
9,783,0.607552694427404
9,987,0.554268143176791
9,1236,0.5265154435307422
9,2423,0.5457992513756783
9,2500,0.6117022440106856
9,2736,0.6523632830555098
9,2797,0.5964817504178095
9,2926,0.5763693401064417
9,2945,0.5906244948765873
9,300059,0.562253450317956
9,600030,0.6244716246724977
9,600061,0.6372139412558797
9,600095,0.5648518061939432
9,600109,0.504376890436395
9,600369,0.5137463327053828
9,600390,0.5022219184301314
9,600517,0.5731923193315346
9,600621,0.5342079844770143
9,600816,0.5967711226913357
9,600830,0.5130873427143837
9,600864,0.5976992038536235
9,600906,0.5513156528535653
9,600909,0.5750500345264238
9,600918,0.5892504056137261
9,600958,0.541931574509292
9,600999,0.6825037870524482
9,601066,0.5715766523687301
9,601099,0.5967521647332359
9,601108,0.5785597408094005
9,601162,0.5810744757983325
9,601211,0.6301305051548475
9,601236,0.6367919358478449
9,601318,0.5540079270409628
9,601336,0.5040930362199761
9,601375,0.56427268951165
9,601377,0.5402539263500115
9,601519,0.5795046525664737
9,601628,0.5013087709351305
9,601688,0.6524882028900711
9,601696,0.5775399818927596
9,601788,0.5609657070180076
9,601878,0.6652308835529612
9,601901,0.5831444722372436
9,601990,0.5925891466100709
166,563,0.8883266413445996
166,567,0.7731980753034469
166,617,0.868780048969972
166,627,0.7839957110351915
166,686,0.6627798707759827
166,712,0.5857543010324997
166,728,0.8865895981278442
166,750,0.8971860656746804
166,776,0.8717506768766701
166,783,0.8795511880946562
166,987,0.9183966971675609
166,1227,0.5489830821575508
166,1236,0.8687032766872261
166,2423,0.8719582009200476
166,2500,0.9218057615836829
166,2670,0.5991616486269463
166,2673,0.7058537796442054
166,2736,0.8865591696556036
166,2797,0.8617319549453396
166,2926,0.774800776163837
166,2939,0.6660936613335777
166,2945,0.7433808678613638
166,2961,0.7575690317331686
166,300033,0.7853465331083646
166,300059,0.9104220578497623
166,300803,0.8426270537677528
166,600030,0.9103684135203828
166,600053,0.712761076809869
166,600061,0.9285540272626297
166,600095,0.9122365064139749
166,600109,0.8403135595201212
166,600155,0.662238620912158
166,600318,0.671303160133399
166,600369,0.8988828641212077
166,600390,0.8684154207461058
166,600517,0.8278450653417528
166,600621,0.9105797056480344
166,600643,0.8666929755749443
166,600705,0.6879311242433361
166,600783,0.726830289414239
166,600816,0.9162949815837557
166,600830,0.7502739819504981
166,600864,0.9189808289834904
166,600906,0.941465405788131
166,600909,0.920953605107984
166,600918,0.9305799991245446
166,600927,0.8540162236279358
166,600928,0.5129272636910001
166,600958,0.927782780779769
166,600999,0.9012690867923878
166,601059,0.6544821282603512
166,601066,0.9492459113788744
166,601099,0.9117751454191705
166,601108,0.8224401304980711
166,601136,0.6664572908240805
166,601162,0.6228041112073396
166,601198,0.7836302660417845
166,601211,0.5919640544264949
166,601236,0.9030204442558842
166,601318,0.6786458530544179
166,601319,0.671047917237391
166,601336,0.7178115880786191
166,601375,0.9414834455707547
166,601377,0.9063733136636303
166,601456,0.7669628450218419
166,601519,0.8663780385506241
166,601555,0.7851855893558428
166,601601,0.6582776251592771
166,601628,0.7368388881195199
166,601688,0.8280830586765904
166,601696,0.9360314112128173
166,601788,0.9207364542602422
166,601878,0.9349815537941031
166,601881,0.6539463741379751
166,601901,0.8514268888152017
166,601990,0.9137616615533737
166,601995,0.7125995233335237
166,603093,0.6817978015581266
563,567,0.6959497986199458
563,617,0.9059002634125558
563,627,0.7538495469386554
563,686,0.6721728385204009
563,712,0.558318158202871
563,728,0.7997810016272677
563,750,0.8804264487331428
563,776,0.8710139500665424
563,783,0.8486226273057107
563,987,0.9048170088282567
563,1227,0.512537996729406
563,1236,0.8728869948504066
563,2423,0.9180181074385797
563,2500,0.8833018753556745
563,2670,0.7045107768648057
563,2673,0.7335893794694553
563,2736,0.8535597450203253
563,2797,0.8591375782207741
563,2926,0.7812080593884159
563,2936,0.5141779296031369
563,2939,0.6179723997767358
563,2945,0.630234400639982
563,2961,0.7895343484848064
563,300033,0.8389013027831369
563,300059,0.9091399326915437
563,300803,0.8750640506049175
563,600030,0.8649418310811297
563,600053,0.652648562852995
563,600061,0.8747248086786324
563,600095,0.8910299263737347
563,600109,0.7469098004168211
563,600155,0.661820708008702
563,600318,0.6334599916838471
563,600369,0.8251334354018547
563,600390,0.8703730074692703
563,600517,0.7452883588170989
563,600621,0.8565608590266781
563,600643,0.8777884056093307
563,600705,0.8310123420194537
563,600783,0.7191407998152886
563,600816,0.8317942714758063
563,600830,0.7624709432603828
563,600864,0.9003876821706095
563,600901,0.5158961957009051
563,600906,0.9069150470785506
563,600909,0.9037093702625963
563,600918,0.877745846536993
563,600927,0.8327816401622287
563,600928,0.5334931087518058
563,600958,0.9036489638932105
563,600999,0.8219387215902978
563,601059,0.6664270037385573
563,601066,0.8974195152917771
563,601099,0.8931939543657902
563,601108,0.773530589694704
563,601136,0.7677258846766218
563,601162,0.59441282465611
563,601198,0.8205613649936878
563,601211,0.509575265767282
563,601236,0.875930591607162
563,601318,0.682105961823224
563,601319,0.594026673715778
563,601336,0.690358184443675
563,601375,0.9062191242608283
563,601377,0.8456327525474845
563,601456,0.7951074884464835
563,601519,0.7977157838564188
563,601555,0.6960244640212793
563,601601,0.5753950117638983
563,601628,0.6662015449353893
563,601688,0.7731496711519346
563,601696,0.8900937063665603
563,601788,0.8681014193426266
563,601878,0.8539973884859869
563,601881,0.5332204194714691
563,601901,0.8441908616968112
563,601990,0.876350971565956
563,601995,0.5634290813904048
563,603093,0.7004798864310589
567,617,0.720038028858702
567,627,0.6894007080034704
567,686,0.5452232744042999
567,728,0.793413968490562
567,750,0.7373996576865313
567,776,0.7197769452907969
567,783,0.7210890178838505
567,987,0.7650966465675397
567,1236,0.6746566122789327
567,2423,0.78219619908435
567,2500,0.7780997735983959
567,2673,0.5163730811153434
567,2736,0.6932127101047668
567,2797,0.7215583226434168
567,2926,0.5935888271357482
567,2936,0.5237202237571621
567,2945,0.7471450202128609
567,2961,0.5253268996648466
567,300033,0.5806272752139054
567,300059,0.7124255222152156
567,300803,0.6362939506798412
567,600030,0.7286526554918435
567,600053,0.5448150925602192
567,600061,0.7228770274062731
567,600095,0.7345250093328861
567,600109,0.7927991592706889
567,600155,0.5207949161920435
567,600369,0.759839539739466
567,600390,0.7215907420469223
567,600517,0.6485780398508452
567,600621,0.6786433570333121
567,600643,0.662116138352299
567,600705,0.6228781028639965
567,600783,0.583320634377205
567,600816,0.7208456770168876
567,600830,0.5963835878427948
567,600864,0.7184634841774387
567,600906,0.6882329945778873
567,600909,0.7545154985161586
567,600918,0.708492258286294
567,600927,0.6385936410690051
567,600958,0.7166558504378606
567,600999,0.7783098856548282
567,601066,0.749227002286065
567,601099,0.7215657848251988
567,601108,0.598103840433346
567,601136,0.5938939515678883
567,601162,0.5460911918270999
567,601198,0.6537841533345314
567,601236,0.728722067523774
567,601318,0.5465670383082954
567,601375,0.8196567118616462
567,601377,0.7352864572401184
567,601456,0.6856550098907787
567,601519,0.7520715553815348
567,601555,0.5548741649908744
567,601628,0.5562588692652075
567,601688,0.6223522544779323
